ASD Acronym,Designation,Title of Standard,Link
,ISO 3990:2023,Dentistry  Evaluation of antibacterial activity of dental restorative materials luting materials fissure sealants and orthodontic bonding or luting materials,https://www.iso.org/standard/79697.html
,ISO 4049:2019,Dentistry  Polymer-based restorative materials,https://www.iso.org/standard/67596.html
,ISO 4104:1984,Dental zinc polycarboxylate cements,https://www.iso.org/standard/9845.html
,ISO/TS 4640:2023,Dentistry  Test methods for tensile bond strength to tooth structure,https://www.iso.org/standard/80210.html
,ISO 4823:2021,Dentistry  Elastomeric impression and bite registration materials,https://www.iso.org/standard/73328.html
,ISO 4824:1993 /Amd 1:1997,Dentistry  Ceramic denture teeth  Amendment 1,https://www.iso.org/standard/23671.html
,ISO 5139:2023,Dentistry  Polymer-based composite machinable blanks,https://www.iso.org/standard/80908.html
,ISO 6871-1:1994 /Cor 1:1998,Dental base metal casting alloys  Part 1: Cobalt-based alloys  Technical Corrigendum 1,https://www.iso.org/standard/30885.html
,ISO 6871-2:1994 /Amd 1:2005,Dental base metal casting alloys  Part 2: Nickel-based alloys  Amendment 1,https://www.iso.org/standard/40596.html
,ISO 6871:1987,Dental base metal casting alloys,https://www.iso.org/standard/13386.html
,ISO 6872:2024,Dentistry  Ceramic materials,https://www.iso.org/standard/81718.html
,ISO 6873:2013,Dentistry  Gypsum products,https://www.iso.org/standard/54423.html
,ISO 6874:2015,Dentistry  Polymer-based pit and fissure sealants,https://www.iso.org/standard/67595.html
,ISO 6876:2012,Dentistry  Root canal sealing materials,https://www.iso.org/standard/45117.html
,ISO 6877:2021,Dentistry  Endodontic obturating materials,https://www.iso.org/standard/72350.html
,ISO 7489:1986,Dental glass polyalkenoate cements,https://www.iso.org/standard/14240.html
,ISO 7490:2000,Dental gypsum-bonded casting investments,https://www.iso.org/standard/24011.html
,ISO 7491:2000,Dental materials  Determination of colour stability,https://www.iso.org/standard/26857.html
,ISO 7551:2023 /CD Amd 1,Dentistry  Endodontic absorbent points  Amendment 1,https://www.iso.org/standard/87812.html
,ISO 8891:1998,Dental casting alloys with noble metal content of at least 25 % but less than 75 %,https://www.iso.org/standard/24817.html
,ISO 9333:2022,Dentistry  Brazing materials,https://www.iso.org/standard/78377.html
,ISO 9693-1:2012,Dentistry  Compatibility testing  Part 1: Metal-ceramic systems,https://www.iso.org/standard/54946.html
,ISO 9693-2:2016,Dentistry  Compatibility testing  Part 2: Ceramic-ceramic systems,https://www.iso.org/standard/56750.html
,ISO 9693:2019,Dentistry  Compatibility testing for metal-ceramic and ceramic-ceramic systems,https://www.iso.org/standard/75855.html
,ISO 9694:1996,Dental phosphate-bonded casting investments,https://www.iso.org/standard/17549.html
,ISO 9917-1:2007,Dentistry  Water-based cements  Part 1: Powder/liquid acid-base cements,https://www.iso.org/standard/45818.html
,ISO 9917-2:2017,Dentistry  Water-based cements  Part 2: Resin-modified cements,https://www.iso.org/standard/69901.html
,ISO 9917:1991 /Cor 1:1993,Dental water-based cements  Technical Corrigendum 1,https://www.iso.org/standard/22131.html
,ISO 10139-1:2018,Dentistry  Soft lining materials for removable dentures  Part 1: Materials for short-term use,https://www.iso.org/standard/68195.html
,ISO 10139-2:2016,Dentistry  Soft lining materials for removable dentures  Part 2: Materials for long-term use,https://www.iso.org/standard/70317.html
,ISO 10271:2020,Dentistry  Corrosion test methods for metallic materials,https://www.iso.org/standard/73445.html
,ISO/TR 10271:1993,Dentistry  Determination of tarnish and corrosion of metals and alloys,https://www.iso.org/standard/18311.html
,ISO 10477:2020,Dentistry  Polymer-based crown and veneering materials,https://www.iso.org/standard/80007.html
,ISO 11244:1998,Dental brazing investments,https://www.iso.org/standard/19225.html
,ISO 11245:1999,Dental restorations  Phosphate-bonded refractory die materials,https://www.iso.org/standard/19226.html
,ISO 11246:1996,Dental ethyl silicate bonded casting investments,https://www.iso.org/standard/19227.html
,ISO/TR 11405:1994,Dental materials  Guidance on testing of adhesion to tooth structure,https://www.iso.org/standard/19347.html
,ISO/TS 11405:2015,Dentistry  Testing of adhesion to tooth structure,https://www.iso.org/standard/62898.html
,ISO 12163:1999,Dental baseplate/modelling wax,https://www.iso.org/standard/21058.html
,ISO 13017:2020,Dentistry  Magnetic attachments,https://www.iso.org/standard/73578.html
,ISO 13116:2014,Dentistry  Test method for determining radio-opacity of materials,https://www.iso.org/standard/63135.html
,ISO 13716:1999,Dentistry  Reversible-irreversible hydrocolloid impression material systems,https://www.iso.org/standard/22724.html
,ISO 13897:2018,Dentistry  Dental amalgam reusable mixing-capsules,https://www.iso.org/standard/68819.html
,ISO 14233:2003,Dentistry   Polymer-based die materials,https://www.iso.org/standard/35428.html
,ISO 14356:2003,Dentistry  Duplicating material,https://www.iso.org/standard/37269.html
,ISO/TR 14569-1:2007,Dental materials  Guidance on testing of wear  Part 1: Wear by toothbrushing,https://www.iso.org/standard/45741.html
,ISO/TS 14569-1:1999,Dental materials  Guidance on testing of wear  Part 1: Wear by toothbrushing,https://www.iso.org/standard/31417.html
,ISO/TS 14569-2:2001,Dental materials  Guidance on testing of wear  Part 2: Wear by two- and/or three body contact,https://www.iso.org/standard/24300.html
,ISO 15841:2014 /Amd 1:2020,Dentistry  Wires for use in orthodontics  Amendment 1,https://www.iso.org/standard/79995.html
,ISO 15854:2023,Dentistry  Casting and baseplate waxes,https://www.iso.org/standard/82846.html
,ISO 15912:2016,Dentistry  Refractory investment and die material,https://www.iso.org/standard/63467.html
,ISO/TS 16506:2017,Dentistry  Polymer-based luting materials containing adhesive components,https://www.iso.org/standard/56898.html
,ISO 16744:2003,Dentistry  Base metal materials for fixed dental restorations,https://www.iso.org/standard/30433.html
,ISO 17254:2016 /Amd 1:2020,Dentistry  Coiled springs for use in orthodontics  Amendment 1,https://www.iso.org/standard/80107.html
,ISO 17304:2013,Dentistry  Polymerization shrinkage: Method for determination of polymerization shrinkage of polymer-based restorative materials,https://www.iso.org/standard/59772.html
,ISO/TS 17576:2004,Dentistry  Corrosion tests for amalgam,https://www.iso.org/standard/31446.html
,ISO/TS 17988:2020,Dentistry  Corrosion test methods for dental amalgam,https://www.iso.org/standard/75255.html
,ISO 18675:2022,Dentistry  Machinable ceramic blanks,https://www.iso.org/standard/77089.html
,ISO 19023:2018,Dentistry  Orthodontic anchor screws,https://www.iso.org/standard/63756.html
,ISO/TS 20746:2016,Dentistry  Determination of the strength of dental amalgam by the Hertzian indentation strength (HIT) method,https://www.iso.org/standard/68962.html
,ISO 20749:2023,Dentistry  Pre-capsulated dental amalgam,https://www.iso.org/standard/82859.html
,ISO 20795-1:2013,Dentistry  Base polymers  Part 1: Denture base polymers,https://www.iso.org/standard/62277.html
,ISO 20795-2:2013,Dentistry  Base polymers  Part 2: Orthodontic base polymers,https://www.iso.org/standard/62279.html
,ISO 21563:2021,Dentistry  Hydrocolloid impression materials,https://www.iso.org/standard/77792.html
,ISO 21606:2022,Dentistry  Elastomeric auxiliaries for use in orthodontics,https://www.iso.org/standard/82586.html
,ISO 22112:2017,Dentistry  Artificial teeth for dental prostheses,https://www.iso.org/standard/70086.html
,ISO 22598:2020,Dentistry  Colour tabs for intraoral tooth colour determination,https://www.iso.org/standard/73544.html
,ISO 22674:2022,Dentistry  Metallic materials for fixed and removable restorations and appliances,https://www.iso.org/standard/77202.html
,ISO 23325:2020,Dentistry  Corrosion resistance of dental amalgam,https://www.iso.org/standard/75236.html
,ISO 23401-1:2023,Dentistry  Chairside denture base relining materials  Part 1: Hard type materials,https://www.iso.org/standard/81006.html
,ISO 24234:2021,Dentistry  Dental amalgam,https://www.iso.org/standard/77495.html
,ISO 27020:2019,Dentistry  Brackets and tubes for use in orthodontics,https://www.iso.org/standard/72549.html
,ISO 28319:2018,Dentistry  Laser welding and filler materials,https://www.iso.org/standard/70629.html
,ISO/TR 28642:2016,Dentistry  Guidance on colour measurement,https://www.iso.org/standard/69046.html
,ISO 29022:2013,Dentistry  Adhesion  Notched-edge shear bond strength test,https://www.iso.org/standard/45285.html
,ISO 10451:2010,Dentistry  Contents of technical file for dental implant systems,https://www.iso.org/standard/51071.html
,ISO/TR 10451:1991,Dental implants  State of the art  Survey of materials,https://www.iso.org/standard/18513.html
,ISO/TR 11175:1993,Dental implants  Guidelines for developing dental implants,https://www.iso.org/standard/19182.html
,ISO 11953:2010,Dentistry  Implants  Clinical performance of hand torque instruments,https://www.iso.org/standard/51062.html
,ISO/TS 13498:2011,Dentistry  Torsion test of implant body/connecting part joints of endosseous dental implant systems,https://www.iso.org/standard/53823.html
,ISO 14727:1998,Dental implants  Prefabricated parts connecting suprastructures to dental implants  Contents of technical file,https://www.iso.org/standard/25375.html
,ISO 14801:2016,Dentistry  Implants  Dynamic loading test for endosseous dental implants,https://www.iso.org/standard/61997.html
,ISO 16498:2013,Dentistry  Minimal dental implant data set for clinical use,https://www.iso.org/standard/56888.html
,ISO/TR 18130:2016,Dentistry  Screw loosening test using cyclic torsional loading for implant body/implant abutment connection of endosseous dental implants,https://www.iso.org/standard/61530.html
,ISO 19429:2015,Dentistry  Designation system for dental implants,https://www.iso.org/standard/64886.html
,ISO 22683:2022,Dentistry  Rotational adaptability test between implant body and implant abutment in dental implant systems,https://www.iso.org/standard/73667.html
,ISO 22794:2007,Dentistry  Implantable materials for bone filling and augmentation in oral and maxillofacial surgery  Contents of a technical file,https://www.iso.org/standard/40138.html
,ISO 22803:2004,Dentistry  Membrane materials for guided tissue regeneration in oral and maxillofacial surgery  Contents of a technical file,https://www.iso.org/standard/35132.html
,ISO/TS 22911:2016,Dentistry  Preclinical evaluation of dental implant systems  Animal test methods,https://www.iso.org/standard/61084.html
,ISO 1797-1:2011,Dentistry  Shanks for rotary instruments  Part 1: Shanks made of metals,https://www.iso.org/standard/51955.html
,ISO 1797-2:1992,Dental rotary instruments  Shanks  Part 2: Shanks made of plastics,https://www.iso.org/standard/6432.html
,ISO 1797-3:2013,Dentistry  Shanks for rotary instruments  Part 3: Shanks made of ceramics,https://www.iso.org/standard/55931.html
